------------------------ Device specifications ------------------------
Device:              GRID T4-8C
CUDA driver version: 11.10
GPU clock rate:      1590 MHz
Memory clock rate:   2500 MHz
Memory bus width:    256 bits
WarpSize:            32
L2 cache size:       4096 KB
Total global mem:    8192 MB
ECC enabled:         Yes
Compute Capability:  7.5
Total SPs:           2560 (40 MPs x 64 SPs/MP)
Compute throughput:  8140.80 GFlops (theoretical single precision FMAs)
Memory bandwidth:    320.06 GB/sec
-----------------------------------------------------------------------
Total GPU memory 8589934592, free 7324872704
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 4
----------------------------------------------------------------------------- CSV data -----------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
           40,     20.250,    0.81, 3345.65, 165.22,     10.125,   28.43,   95.61,   9.44,     40.500,    0.68, 7948.87, 196.27,    20.250,    1.50, 1815.03,  89.63
           48,     24.250,    0.88, 3710.64, 153.02,     12.125,   34.15,   95.31,   7.86,     48.500,    0.86, 7587.01, 156.43,    24.250,    1.41, 2302.87,  94.96
           56,     28.250,    1.07, 3532.16, 125.03,     14.125,   39.71,   95.47,   6.76,     56.500,    1.03, 7338.05, 129.88,    28.250,    1.44, 2637.22,  93.35
           64,     32.250,    1.27, 3417.20, 105.96,     16.125,   45.40,   95.34,   5.91,     64.500,    1.21, 7150.50, 110.86,    32.250,    1.57, 2754.66,  85.42
           80,     40.250,    1.63, 3304.71,  82.10,     20.125,   56.29,   95.97,   4.77,     80.500,    1.45, 7432.76,  92.33,    40.250,    1.81, 2987.83,  74.23
           96,     48.250,    2.00, 3236.60,  67.08,     24.125,   67.43,   96.04,   3.98,     96.500,    1.80, 7186.68,  74.47,    48.250,    2.08, 3113.27,  64.52
          128,     64.250,    2.63, 3282.47,  51.09,     32.125,   89.46,   96.40,   3.00,    128.500,    2.29, 7517.04,  58.50,    64.250,    2.93, 2944.85,  45.83
          192,     96.250,    3.69, 3504.95,  36.42,     48.125,  134.94,   95.74,   1.99,    192.500,    3.50, 7387.50,  38.38,    96.250,    4.24, 3049.31,  31.68
          256,    128.250,    4.89, 3519.35,  27.44,     64.125,  178.67,   96.34,   1.50,    256.500,    4.82, 7135.27,  27.82,   128.250,    5.55, 3099.13,  24.16
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
